vio,year,incarc_rate,pb1064,pw1064,pm1029,pop,avginc,density,stateid,shall
727.7,96,338,8.75226,61.23177,15.8195,0.604918,16.54619,0.0010606,2,1
701.1,97,383,8.834417,61.00919,15.98483,0.608846,16.81668,0.0010675,2,1
653.9,98,420,8.933932,60.74545,16.30562,0.615205,17.07745,0.0010786,2,1
631.5,99,413,8.986603,60.55464,16.6318,0.6195,17.12014,0.0010861,2,1
494.2,77,125,3.436422,66.61958,18.72813,2.425197,10.91945,0.021383,4,0
552.1,78,129,3.457416,66.48782,18.48919,2.515318,11.59141,0.0221776,4,0
593,79,146,3.473442,66.49958,18.28485,2.63557,11.80469,0.0232379,4,0
650.9,80,139,3.592809,66.15736,18.0928,2.737774,11.59431,0.0241197,4,0
575.8,81,160,3.557633,66.35718,17.99499,2.810127,11.68117,0.0247571,4,0
517,82,184,3.588126,66.18365,17.79727,2.889865,11.29524,0.0254596,4,0
494.2,83,209,3.622587,65.86687,17.58133,2.968928,11.654,0.0261561,4,0
516.1,84,223,3.644696,65.58672,17.30715,3.067142,12.35672,0.0270214,4,0
602.5,85,247,3.673841,65.33994,17.0261,3.183535,12.78621,0.0280468,4,0
658.3,86,256,3.72806,65.11162,16.73828,3.308262,13.14687,0.0291456,4,0
612.6,87,268,3.784642,64.77774,16.45066,3.437102,13.26901,0.0302807,4,0
610.1,88,307,3.844388,64.44434,16.15664,3.535179,13.29939,0.0311448,4,0
599.6,89,328,3.903289,63.91225,15.89517,3.622176,13.3041,0.0319112,4,0
652.4,90,350,3.964251,64.84599,15.65157,3.679056,13.11478,0.0323741,4,0
670.7,91,375,4.026213,64.48261,15.32617,3.762394,12.83855,0.0331074,4,0
670.8,92,396,4.067532,64.29301,15.06402,3.867333,12.87301,0.0340308,4,0
715,93,409,4.107062,64.02615,14.84015,3.99339,12.92288,0.0351401,4,0
703.1,94,430,4.16112,64.19139,14.63248,4.147561,13.28813,0.0364967,4,0
713.5,95,459,4.210515,64.04899,14.52453,4.306908,13.49464,0.0378989,4,1
631.5,96,473,4.258865,63.88958,14.44164,4.432308,13.72299,0.0390024,4,1
623.7,97,479,4.313578,64.03395,14.37867,4.552207,14.14638,0.0400574,4,1
577.9,98,484,4.317078,63.87193,14.36154,4.667277,14.74526,0.04107,4,1
551.2,99,507,4.343524,63.80436,14.36654,4.778332,15.05345,0.0420472,4,1
322.9,77,115,5.325915,59.49733,17.29585,2.20901,9.321481,0.0425259,5,0
344.1,78,111,5.294712,59.49071,17.09856,2.243125,9.945752,0.0431827,5,0
366.2,79,115,5.256688,59.47256,16.902,2.271335,9.724736,0.0437258,5,0
335.2,80,132,5.301,59.40872,16.77785,2.288738,9.171474,0.0439483,5,0
310.3,81,128,5.363085,59.39111,16.70277,2.293195,9.386144,0.0440339,5,0
324.7,82,143,5.396681,59.34017,16.57396,2.294262,9.238463,0.0440543,5,0
297.7,83,166,5.412156,59.31244,16.41476,2.305754,9.476,0.044275,5,0
321.4,84,179,5.429969,59.3006,16.23451,2.319774,10.12704,0.0445442,5,0
347.6,85,188,5.448844,59.18848,16.04804,2.327044,10.43046,0.0446838,5,0
394.8,86,195,5.453926,59.12255,15.81027,2.33199,10.66621,0.0447788,5,0
412,87,198,5.468931,59.08031,15.59308,2.342359,10.68537,0.0449779,5,0
422.7,88,227,5.485952,58.94504,15.35794,2.342638,10.95947,0.0449833,5,0
473.7,89,230,5.507787,58.81361,15.12138,2.346387,11.09184,0.0450552,5,0
532.2,90,261,5.545241,61.01876,14.93504,2.354343,11.05586,0.0452106,5,0
593.3,91,277,5.603151,60.95456,14.80757,2.370666,11.15141,0.0455241,5,0
576.5,92,317,5.660378,60.80524,14.68971,2.394098,11.66175,0.045974,5,0
593.3,93,340,5.731631,60.91962,14.56569,2.423743,11.70956,0.0465433,5,0
595.1,94,327,5.748989,61.00677,14.45512,2.450605,11.928,0.0470591,5,0
553.2,95,345,5.777742,60.96267,14.39696,2.480121,12.12908,0.0476259,5,0
524,96,361,5.83566,60.96302,14.36884,2.504858,12.34567,0.048101,5,1
526.9,97,357,5.884809,61.0488,14.30606,2.524007,12.56159,0.0484687,5,1
490.2,98,392,5.917338,61.09908,14.25316,2.538202,12.98742,0.0487413,5,1
425.2,99,415,5.961927,61.2114,14.17539,2.551373,13.29533,0.0489942,5,1
706,77,85,5.011663,65.51936,18.78835,22.3524,14.08908,0.1429538,6,0
742.9,78,80,5.16054,65.27907,18.63814,22.83596,14.6963,0.1460464,6,0
811.1,79,88,5.299742,64.99982,18.49175,23.25689,14.88071,0.1487384,6,0
893.6,80,93,5.594304,64.43827,18.38397,23.8008,14.54306,0.1522774,6,0
863,81,98,5.764122,64.16476,18.33019,24.28594,14.47268,0.1553813,6,0
814.7,82,114,5.955957,63.59418,18.20489,24.82001,14.21477,0.1587982,6,0
772.6,83,135,6.108492,63.02439,18.00803,25.36002,14.491,0.1622533,6,0
763.4,84,150,6.266548,62.47379,17.79389,25.84439,15.27399,0.1653522,6,0
765.3,85,162,6.419227,61.9726,17.58418,26.44111,15.65773,0.1691701,6,0
920.5,86,181,6.571936,61.4321,17.35141,27.10224,16.02385,0.1734,6,0
918,87,212,6.712571,60.96083,17.1327,27.77715,16.33412,0.177718,6,0
929.8,88,231,6.850673,60.54552,16.92792,28.46425,16.59835,0.1821141,6,0
977.7,89,257,6.997949,60.14187,16.78493,29.21816,16.67429,0.1869376,6,0
1045.2,90,283,7.156204,60.53821,16.61047,29.95011,16.67942,0.1920211,6,0
1089.9,91,311,7.26585,59.86163,16.22872,30.41411,16.09954,0.194996,6,0
1119.7,92,318,7.394206,59.40587,15.9039,30.87592,16.13262,0.1979568,6,0
1077.8,93,339,7.525185,58.84095,15.59114,31.14721,15.7967,0.1996962,6,0
1013,94,368,7.618953,58.34014,15.29132,31.31718,15.77386,0.2007859,6,0
966,95,384,7.714913,57.91899,15.08377,31.49352,16.02038,0.2019165,6,0
862.7,96,416,7.803103,57.64225,14.95196,31.78083,16.2325,0.2037585,6,0
798.3,97,446,7.907242,57.71132,14.88057,32.21771,16.60678,0.2065595,6,0
703.7,98,475,8.000757,57.91366,14.87256,32.68279,17.2693,0.2095414,6,0
627.2,99,483,8.08967,58.14976,14.91536,33.14512,17.85389,0.2125055,6,0
511.9,77,87,2.026637,72.37897,20.01816,2.696142,12.44015,0.0259829,8,0
498,78,89,2.081794,72.41429,19.80795,2.766748,13.04759,0.0266633,8,0
522.1,79,93,2.115095,72.49131,19.576,2.849234,13.16571,0.0274583,8,0
528.6,80,90,2.207162,72.37984,19.3459,2.908803,13.06808,0.0280786,8,0
531.7,81,96,2.254344,72.38009,19.03929,2.977895,13.30654,0.0287455,8,0
504.2,82,92,2.313977,72.21121,18.55973,3.061569,13.35924,0.0295533,8,0
476.4,83,108,2.368948,71.82253,18.04688,3.133628,13.57,0.0302488,8,0
457.8,84,109,2.424206,71.46875,17.52742,3.169987,14.14621,0.0305998,8,0
471,85,104,2.491744,71.09287,17.11547,3.208717,14.27522,0.0309737,8,0
523.6,86,103,2.547748,70.60625,16.64707,3.237447,14.33675,0.031251,8,0
467.5,87,115,2.599251,70.12352,16.22412,3.260478,14.39771,0.0314733,8,0
472.6,88,145,2.643703,69.71968,15.81841,3.262281,14.55397,0.0314907,8,0
471.4,89,174,2.698713,69.4189,15.47111,3.275821,14.89404,0.0316214,8,0
526,90,207,2.750993,70.51215,15.20009,3.303862,15.01369,0.0318506,8,0
559.3,91,209,2.798311,70.5401,14.87783,3.367567,14.976,0.0324647,8,0
578.8,92,249,2.829628,70.58759,14.6569,3.459995,15.22737,0.0333558,8,0
567.3,93,256,2.879706,70.76588,14.46057,3.560884,15.52041,0.0343284,8,0
509.6,94,262,2.920543,70.96488,14.28738,3.65391,15.79066,0.0352252,8,0
440.2,95,289,2.947571,71.1405,14.21173,3.738061,16.26171,0.0360365,8,0
404.5,96,292,2.973025,71.1972,14.17882,3.812716,16.65668,0.0367562,8,0
363.2,97,322,3.003526,71.1914,14.20073,3.891293,17.35757,0.0375137,8,0
377.9,98,342,3.058428,71.09323,14.23766,3.968967,18.24202,0.0382625,8,0
340.5,99,357,3.094968,71.19784,14.23856,4.056133,18.85673,0.0391028,8,0
282.3,77,62,2.625869,69.83115,17.53661,3.085722,14.32253,0.6346611,9,0
315,78,53,2.68661,69.85175,17.44055,3.091629,14.85216,0.635876,9,0
414.2,79,70,2.759993,69.8198,17.33737,3.095914,15.05221,0.6367573,9,0
412.5,80,69,2.878027,69.61651,17.24054,3.113174,15.03875,0.638993,9,0
448.1,81,68,2.987402,69.48974,17.18353,3.128839,15.19604,0.6422083,9,0
399.5,82,95,3.083773,69.11452,16.99181,3.139012,15.3799,0.6442964,9,0
375,83,114,3.172015,68.65659,16.76026,3.162343,15.799,0.6490852,9,0
393.8,84,114,3.261486,68.23032,16.47208,3.180023,16.85922,0.6527141,9,0
402,85,119,3.348601,67.74603,16.17114,3.201128,17.37454,0.657046,9,0
425.8,86,127,3.435485,67.21826,15.87937,3.223737,18.21454,0.6616866,9,0
419,87,135,3.523706,66.7266,15.53988,3.247291,19.20191,0.6665211,9,0
455.4,88,144,3.617498,66.2566,15.22223,3.271958,20.21389,0.6715842,9,0
511.8,89,146,3.704991,65.67208,14.87585,3.283409,20.71499,0.6739345,9,0
553.7,90,194,3.790024,67.24413,14.53457,3.289056,20.37283,0.6788557,9,0
539.7,91,238,3.877986,66.6134,14.12867,3.28864,19.63685,0.6787698,9,0
495.3,92,263,3.949469,66.03352,13.75824,3.274997,20.33085,0.675954,9,0
456.2,93,268,4.025792,65.46114,13.45976,3.272325,20.39578,0.6754025,9,0
455.5,94,320,4.081422,65.08693,13.17764,3.268346,20.5175,0.6745812,9,0
405.9,95,321,4.132952,64.80254,12.9683,3.265293,20.89334,0.6739511,9,0
412,96,318,4.208807,64.68811,12.81999,3.26703,21.25472,0.6743096,9,0
390.9,97,314,4.299477,64.64516,12.72505,3.268514,22.1194,0.6746159,9,0
366.3,98,397,4.391971,64.35552,12.7314,3.272563,23.13307,0.6754516,9,0
345.6,99,372,4.480762,64.13895,12.77051,3.282031,23.64671,0.6774058,9,0
382.1,77,118,5.74693,64.15755,18.57513,0.591829,13.00897,0.2986019,10,0
440.7,78,120,5.840172,64.10252,18.42085,0.594777,13.22942,0.3000893,10,0
537.3,79,173,5.939507,63.96815,18.25366,0.594982,13.10123,0.3001927,10,0
474.8,80,181,6.039646,63.20911,17.99573,0.594919,13.06083,0.3079291,10,0
509,81,183,6.12362,63.02656,17.87335,0.595971,13.01281,0.3084736,10,0
559.8,82,208,6.171387,62.56893,17.69248,0.599136,13.13426,0.3101118,10,0
453.1,83,250,6.215406,62.10418,17.44423,0.605415,13.529,0.3133618,10,0
435.7,84,273,6.255918,61.66697,17.14883,0.611517,14.20854,0.3165202,10,0
433.3,85,263,6.296459,61.20521,16.85876,0.618284,14.86786,0.3200228,10,0
427,86,281,6.34046,60.80499,16.5373,0.627557,15.25393,0.3248225,10,0
430.7,87,311,6.404671,60.48524,16.2124,0.636957,15.72724,0.3296879,10,0
451.7,88,326,6.478223,60.15025,15.85676,0.647585,16.2607,0.3351889,10,0
556.5,89,331,6.554518,59.82942,15.51852,0.658233,16.80679,0.3407003,10,0
655.2,90,333,6.6351,61.46357,15.20903,0.669063,16.48663,0.3422317,10,0
714.3,91,323,6.794319,61.005,14.92472,0.680495,16.332,0.3480793,10,0
621.2,92,344,6.956813,60.55497,14.65491,0.690158,16.39674,0.353022,10,0
685.9,93,390,7.09718,60.17885,14.39437,0.699475,16.41405,0.3577877,10,0
644.3,94,394,7.244331,59.73326,14.18362,0.708416,16.48416,0.3623611,10,0
725,95,400,7.419685,59.49879,13.96769,0.718265,16.60571,0.367399,10,0
668.3,96,413,7.576778,59.17424,13.79513,0.72709,16.9164,0.371913,10,0
677.9,97,428,7.754169,58.77142,13.67493,0.735024,17.01975,0.3759713,10,0
762.4,98,443,7.950773,58.3795,13.57648,0.744066,17.85342,0.3805964,10,0
734,99,429,8.134692,58.07962,13.49182,0.753538,18.3592,0.3854414,10,0
1426.5,77,334,25.80589,21.91194,18.15841,0.677229,15.95009,11.10212,11,0
1411.7,78,330,25.82674,21.99967,18.04598,0.665051,15.96454,10.90248,11,0
1608.7,79,383,25.86125,22.06764,17.92189,0.650015,15.55299,10.65598,11,0
2010.6,80,433,25.68026,21.78043,17.60016,0.638284,14.92752,10.13149,11,0
2274.8,81,426,25.58024,22.42587,17.62946,0.636894,14.82888,10.10943,11,0
2123.1,82,467,25.38574,22.97488,17.52571,0.634171,15.27876,10.06621,11,0
1915.4,83,531,25.07103,23.42597,17.24135,0.632439,15.532,10.03871,11,0
1721.5,84,558,24.8133,23.85827,17.01343,0.633382,16.42383,10.05368,11,0
1624.8,85,649,24.52111,24.20183,16.74339,0.634543,16.8319,10.07211,11,0
1505.3,86,738,24.27641,24.54855,16.52195,0.638278,17.29827,10.1314,11,0
1610.3,87,753,24.04692,24.80383,16.23433,0.636934,17.76013,10.11006,11,0
1921.6,88,905,23.84928,25.05639,15.95927,0.63043,18.89448,10.00683,11,0
2141.9,89,1078,23.58799,25.25086,15.64346,0.624165,19.52173,9.907381,11,0
2458.2,90,1132,23.41714,26.08502,15.29709,0.603814,20.28977,9.89859,11,0
2453.3,91,1148,23.34388,25.52125,14.92299,0.593239,20.51771,9.725229,11,0
2832.8,92,1221,23.30794,25.4095,14.55931,0.584183,21.30923,9.576771,11,0
2921.8,93,1287,22.92985,25.70434,14.05723,0.576358,21.81718,9.448492,11,0
2662.6,94,1549,22.56992,26.08649,13.6392,0.564982,22.0033,9.262,11,0
2661.4,95,1782,22.26011,26.44189,13.2945,0.551273,21.61143,9.037263,11,0
2469.8,96,1650,21.94686,27.00581,12.88547,0.538273,21.84464,8.824147,11,0
2024.2,97,1611,21.79755,27.66836,12.6583,0.528752,22.47337,8.668065,11,0
1718.5,98,1682,21.84068,28.44929,12.41844,0.521426,22.89234,8.547967,11,0
1627.7,99,1913,21.66975,29.27457,12.21368,0.519,23.39974,8.508196,11,0
686.8,77,211,5.08674,60.00757,16.37442,8.856183,11.52444,0.1637305,12,0
765.6,78,221,5.038732,59.9397,16.13016,9.102032,12.10329,0.1682757,12,0
833.9,79,239,5.018184,60.12845,15.97145,9.426159,12.18199,0.1742681,12,0
983.5,80,220,5.078043,59.85242,15.73494,9.839835,12.14924,0.1817043,12,0
965.1,81,208,5.139825,59.93149,15.72342,10.19278,12.26972,0.1882218,12,0
896.8,82,224,5.180603,59.84478,15.58158,10.47141,12.16625,0.1933671,12,0
826.7,83,261,5.210392,59.69122,15.42759,10.74984,12.637,0.1985088,12,0
868,84,235,5.222791,59.50279,15.17453,11.03992,13.19968,0.2038653,12,0
941.1,85,242,5.236619,59.25166,14.92604,11.35112,13.61683,0.2096121,12,0
1036.5,86,247,5.24706,58.90889,14.66731,11.6675,14.01951,0.2154544,12,0
1024.4,87,272,5.271782,58.623,14.38565,11.99729,14.39595,0.2215443,12,0
1117.7,88,265,5.288664,58.21194,14.08954,12.3064,14.81331,0.2272523,12,1
1109.4,89,278,5.319287,57.87771,13.86584,12.63771,15.29313,0.2333704,12,1
1244.3,90,307,5.353076,59.33008,13.6879,13.01836,15.12951,0.2410942,12,1
1184.3,91,336,5.456843,58.97432,13.38398,13.2895,14.75816,0.2461155,12,1
1207.2,92,344,5.591074,58.52879,13.16867,13.50478,14.66931,0.2501023,12,1
1206,93,355,5.693723,57.94917,12.93066,13.71359,14.91823,0.2539695,12,1
1146.8,94,384,5.809861,57.54924,12.71791,13.9618,15.01248,0.2585662,12,1
1071,95,406,5.931224,57.33018,12.58249,14.1854,15.37685,0.2627072,12,1
1051,96,447,6.044211,57.11045,12.51724,14.42691,15.63116,0.2671799,12,1
1023.6,97,439,6.174477,57.02666,12.50534,14.68335,15.97274,0.271929,12,1
938.7,98,437,6.283623,57.05493,12.50831,14.90823,16.45484,0.2760937,12,1
854,99,447,6.394272,57.11421,12.52576,15.11124,16.61304,0.2798534,12,1
439.8,77,225,8.995614,55.27949,18.80287,5.219699,10.22732,0.0898817,13,0
482.8,78,224,9.080371,55.13272,18.61688,5.295753,10.67919,0.0911913,13,0
558.7,79,216,9.193938,54.98414,18.44075,5.401385,10.59458,0.0930103,13,0
555.3,80,224,9.368551,54.87352,18.32683,5.486174,10.24507,0.094498,13,0
548.2,81,219,9.516834,54.79004,18.21969,5.568343,10.34076,0.0959133,13,0
478.2,82,220,9.618777,54.68195,18.08953,5.649793,10.37573,0.0973163,13,0
456.7,83,247,9.689654,54.56527,17.91106,5.728254,10.849,0.0986677,13,0
478.6,84,259,9.735667,54.50443,17.67456,5.834957,11.68542,0.1005057,13,0
507.2,85,254,9.769167,54.40846,17.43874,5.962668,12.17042,0.1027055,13,0
587.6,86,251,9.778049,54.31058,17.17435,6.08466,12.71691,0.1048067,13,0
576.5,87,265,9.782475,54.23222,16.87653,6.20847,12.99714,0.1069393,13,0
665.3,88,282,9.798496,54.05778,16.63891,6.316153,13.36759,0.1087941,13,0
735.8,89,281,9.818057,53.84161,16.4105,6.411085,13.49281,0.1104293,13,0
756.3,90,300,9.871989,55.20558,16.19728,6.506531,13.51636,0.1123385,13,1
738.2,91,327,10.00728,54.94827,15.89805,6.621279,13.36926,0.1143196,13,1
733.2,92,342,10.13363,54.66885,15.64598,6.759474,13.72643,0.1167056,13,1
723.1,93,365,10.25108,54.34254,15.38986,6.894092,13.86888,0.1190299,13,1
667.7,94,387,10.39586,54.12839,15.14298,7.0459,14.22624,0.1216509,13,1
657.1,95,456,10.52201,53.94292,14.94876,7.188538,14.53842,0.1241136,13,1
638.7,96,470,10.65336,53.72744,14.80887,7.332225,14.97711,0.1265945,13,1
606.6,97,462,10.80586,53.5205,14.71933,7.486094,15.24307,0.1292511,13,1
572.7,98,472,10.94355,53.32244,14.67237,7.636522,15.9746,0.1318483,13,1
534,99,502,11.10859,53.18856,14.62885,7.78824,16.33975,0.1344678,13,1
224.8,77,39,26.65354,24.28329,20.5375,0.918257,13.73726,0.1429194,15,0
270.1,78,44,26.78969,23.98426,20.36709,0.931586,13.97814,0.1449939,15,0
289.7,79,57,26.94793,23.73469,20.07941,0.953305,13.97794,0.1483743,15,0
299.5,80,58,26.97957,23.51738,19.69567,0.96771,13.91801,0.1506163,15,0
247.6,81,65,25.1352,27.77328,19.52127,0.978174,13.49066,0.152245,15,0
255.7,82,77,25.15592,27.5246,19.04051,0.993802,13.34066,0.1546773,15,0
252.1,83,88,25.01153,27.45545,18.63502,1.012717,13.88,0.1576213,15,0
231.9,84,103,24.82482,27.2599,18.31653,1.027935,14.30061,0.1599899,15,0
219.4,85,124,24.72177,27.02564,17.90892,1.039683,14.53172,0.1618184,15,0
245.2,86,134,24.64585,26.86471,17.56933,1.051759,14.91578,0.1636979,15,0
263.3,87,142,24.64091,26.72901,17.23383,1.067911,15.25278,0.1662118,15,0
257.1,88,141,24.6308,26.48869,16.83211,1.079823,15.90622,0.1680658,15,0
270.1,89,136,24.63831,26.23444,16.53651,1.094584,16.49362,0.1703633,15,0
280.9,90,142,24.85353,26.38754,16.16793,1.112703,17.06194,0.1732373,15,0
241.8,91,150,24.66962,26.44024,15.76782,1.131412,16.92631,0.1761501,15,0
258.4,92,153,24.46166,26.49997,15.44691,1.149926,17.20117,0.1790325,15,0
261.2,93,164,24.25993,26.32638,15.09606,1.161508,17.24291,0.1808357,15,0
262.2,94,198,24.07439,26.25737,14.79892,1.173903,17.02512,0.1827655,15,0
295.6,95,202,23.95598,26.10543,14.50059,1.18049,16.73194,0.1837911,15,0
280.6,96,217,23.9511,26.01487,14.22114,1.184434,16.29473,0.1844051,15,0
277.9,97,249,24.03664,26.00187,13.96745,1.189322,16.30063,0.1851661,15,0
246.9,98,288,24.09624,26.04379,13.86349,1.190472,16.33325,0.1853452,15,0
235,99,307,24.16387,26.08433,13.68127,1.185497,16.46473,0.1845706,15,0
236.9,77,82,0.7693518,70.72501,18.70859,0.883471,10.70244,0.0106858,16,0
236.4,78,87,0.7953302,70.47297,18.4472,0.910691,11.18343,0.011015,16,0
288.7,79,91,0.8045025,70.13862,18.18274,0.932626,10.83057,0.0112804,16,0
313.4,80,92,0.8417872,69.79239,17.95602,0.947983,10.56061,0.011503,16,0
283.3,81,87,0.8455596,69.53201,17.68889,0.962203,10.30788,0.0116755,16,0
259.2,82,99,0.8571174,69.1673,17.32402,0.973729,9.928871,0.0118154,16,0
238.7,83,107,0.8737516,68.87727,17.02201,0.981858,10.315,0.011914,16,0
235.3,84,121,0.894089,68.74544,16.71792,0.990841,10.61517,0.012023,16,0
234.8,85,127,0.9220901,68.65839,16.44944,0.994046,10.78512,0.0120619,16,0
222.5,86,133,0.9490763,68.49204,16.20034,0.990226,10.87891,0.0120156,16,0
214.2,87,144,0.9795899,68.47251,15.99648,0.985004,11.05985,0.0119522,16,0
234.7,88,144,1.013626,68.5293,15.8046,0.985669,11.40742,0.0119603,16,0
254.6,89,157,1.052668,68.68022,15.70031,0.994426,11.88681,0.0120665,16,0
275.7,90,180,1.085008,70.69105,15.65983,1.011882,12.08989,0.012228,16,0
290.3,91,190,1.103555,71.35117,15.60041,1.038915,11.83854,0.0125547,16,1
281.4,92,205,1.128468,71.66949,15.64618,1.06649,12.23756,0.0128879,16,1
281.8,93,209,1.165088,72.03497,15.71289,1.101204,12.57976,0.0133074,16,1
285.8,94,234,1.162437,72.30266,15.73883,1.135459,12.66451,0.0137214,16,1
322,95,245,1.186352,72.63202,15.78395,1.165,12.83802,0.0140784,16,1
267.2,96,283,1.186826,72.77551,15.82892,1.187706,12.92416,0.0143528,16,1
256.8,97,319,1.210849,72.91081,15.86725,1.210638,12.93978,0.0146299,16,1
282.2,98,323,1.241914,72.94096,15.84445,1.230923,13.39434,0.014875,16,1
244.9,99,330,1.250619,73.22482,15.79188,1.2517,13.67686,0.0151261,16,1
630.6,77,87,5.314545,62.96043,18.08612,11.38632,13.78494,0.2042462,17,0
676.7,78,95,5.416671,62.7687,17.97922,11.41256,14.17526,0.204717,17,0
743.9,79,96,5.51595,62.54858,17.90405,11.39684,14.0534,0.2044349,17,0
808,80,95,5.659422,62.0413,17.79839,11.4347,13.39209,0.2054938,17,0
792.5,81,94,5.717615,61.88957,17.69374,11.44346,13.426,0.2056512,17,0
774.3,82,113,5.786729,61.5728,17.50049,11.42341,13.17967,0.2052909,17,0
728.1,83,119,5.830409,61.23556,17.25182,11.40882,13.289,0.2050287,17,0
724.9,84,135,5.887696,60.88976,17.00621,11.41214,14.08004,0.2050883,17,0
714.8,85,149,5.935356,60.61123,16.73879,11.3998,14.36041,0.2048666,17,0
808.9,86,161,5.984066,60.26858,16.44861,11.38726,14.80216,0.2046412,17,0
796.2,87,168,6.044029,60.00742,16.14987,11.39118,15.16245,0.2047116,17,0
810.4,88,171,6.104655,59.83682,15.87374,11.39018,15.54416,0.2046936,17,0
845.9,89,181,6.170642,59.59296,15.61103,11.40979,15.7661,0.205046,17,0
967.4,90,211,6.253667,61.30873,15.35439,11.44698,15.81607,0.2059068,17,0
1039.2,91,234,6.289829,61.05313,15.07635,11.53597,15.58492,0.2075077,17,0
977.3,92,247,6.34584,60.84206,14.82899,11.6352,16.16244,0.2092925,17,0
959.7,93,271,6.404929,60.66113,14.5957,11.72598,16.11296,0.2109255,17,0
960.9,94,294,6.450367,60.46421,14.39548,11.80499,16.42368,0.2123466,17,0
996.1,95,310,6.498252,60.30975,14.2654,11.88494,16.77052,0.2137847,17,0
890.4,96,317,6.53061,60.21309,14.18194,11.953,17.14817,0.2150091,17,0
861.4,97,327,6.582279,60.15479,14.11023,12.01151,17.60908,0.2160615,17,0
807.7,98,342,6.644557,60.22058,14.08345,12.06977,18.33367,0.2171096,17,0
732.5,99,357,6.703696,60.3039,14.05192,12.12837,18.62052,0.2181636,17,0
310.6,77,79,2.6976,67.79831,18.27271,5.425637,11.83516,0.1503071,18,1
323.5,78,80,2.725104,67.7674,18.11898,5.470213,12.23317,0.151542,18,1
338,79,82,2.755229,67.68886,17.97917,5.501176,12.09281,0.1523998,18,1
